        AOA          AOAHT        ELEV         ETAB         DYNP        FXHT         FZHT         MYHT         FXE          FZE          MYE          FXWB         FZWB         MYWB         FXTAB        FZTAB        MYTAB        
     -19.561      -13.188       -6.661        7.509         4604  -6.6976e+03  -2.8080e+04   2.5006e+05  -1.8703e+03  -7.8178e+03   6.9596e+04  -6.4133e+04  -2.9222e+05  -5.7047e+04   1.2597e+02   3.5454e+02  -2.9887e+03
     -19.554       32.358       -6.661        6.993         4604   1.6426e+04   6.8897e+04  -6.1357e+05  -1.8696e+03  -7.8180e+03   6.9601e+04   2.2758e+05   4.4914e+05   2.1986e+05   1.1727e+02   3.3019e+02  -2.7836e+03
     -19.554      -13.448       -6.661        7.512         4604  -6.8269e+03  -2.8634e+04   2.5500e+05  -1.8696e+03  -7.8180e+03   6.9601e+04  -6.4784e+04  -2.9676e+05  -5.7452e+04   1.2598e+02   3.5470e+02  -2.9902e+03
     -19.554      -13.445       -6.661        7.512         4604  -6.8251e+03  -2.8626e+04   2.5493e+05  -1.8696e+03  -7.8180e+03   6.9601e+04  -6.4774e+04  -2.9670e+05  -5.7446e+04   1.2598e+02   3.5469e+02  -2.9902e+03
     -19.554      -13.178       -6.661        7.509         4604  -6.6895e+03  -2.8057e+04   2.4987e+05  -1.8696e+03  -7.8180e+03   6.9601e+04  -6.4058e+04  -2.9200e+05  -5.6980e+04   1.2593e+02   3.5455e+02  -2.9890e+03
     -19.556       32.357       -6.661        6.993         4604   1.6427e+04   6.8893e+04  -6.1353e+05  -1.8698e+03  -7.8179e+03   6.9600e+04   2.2758e+05   4.4909e+05   2.1985e+05   1.1729e+02   3.3018e+02  -2.7835e+03
     -19.556      -13.450       -6.661        7.512         4604  -6.8284e+03  -2.8637e+04   2.5502e+05  -1.8698e+03  -7.8179e+03   6.9600e+04  -6.4801e+04  -2.9680e+05  -5.7468e+04   1.2599e+02   3.5469e+02  -2.9901e+03
     -19.556      -13.446       -6.661        7.512         4604  -6.8266e+03  -2.8629e+04   2.5496e+05  -1.8698e+03  -7.8179e+03   6.9600e+04  -6.4791e+04  -2.9674e+05  -5.7462e+04   1.2599e+02   3.5469e+02  -2.9901e+03
     -19.556      -13.179       -6.661        7.509         4604  -6.6910e+03  -2.8060e+04   2.4989e+05  -1.8698e+03  -7.8179e+03   6.9600e+04  -6.4075e+04  -2.9204e+05  -5.6996e+04   1.2594e+02   3.5455e+02  -2.9889e+03
     -19.558       32.356       -6.661        6.993         4604   1.6428e+04   6.8890e+04  -6.1349e+05  -1.8700e+03  -7.8179e+03   6.9598e+04   2.2757e+05   4.4905e+05   2.1985e+05   1.1730e+02   3.3018e+02  -2.7834e+03
     -19.558      -13.451       -6.661        7.512         4604  -6.8299e+03  -2.8640e+04   2.5505e+05  -1.8700e+03  -7.8179e+03   6.9598e+04  -6.4818e+04  -2.9683e+05  -5.7485e+04   1.2600e+02   3.5469e+02  -2.9901e+03
     -19.558      -13.448       -6.661        7.512         4604  -6.8281e+03  -2.8632e+04   2.5498e+05  -1.8700e+03  -7.8179e+03   6.9598e+04  -6.4808e+04  -2.9677e+05  -5.7479e+04   1.2600e+02   3.5469e+02  -2.9900e+03
     -19.558      -13.181       -6.661        7.509         4604  -6.6925e+03  -2.8063e+04   2.4992e+05  -1.8700e+03  -7.8179e+03   6.9598e+04  -6.4092e+04  -2.9207e+05  -5.7013e+04   1.2595e+02   3.5454e+02  -2.9888e+03
     -19.560      -59.261       -6.661        8.031         4604  -3.0092e+04  -1.2617e+05   1.1236e+06  -1.8702e+03  -7.8178e+03   6.9597e+04  -1.6096e+04  -1.1640e+06   6.2326e+04   1.3473e+02   3.7919e+02  -3.1966e+03
     -19.560      -13.453       -6.661        7.512         4604  -6.8314e+03  -2.8643e+04   2.5507e+05  -1.8702e+03  -7.8178e+03   6.9597e+04  -6.4835e+04  -2.9687e+05  -5.7501e+04   1.2602e+02   3.5468e+02  -2.9900e+03
